"mouse","ensembl2","lower_anatomicalEntity"
"http://metadb.riken.jp/db/rikenbrc_mouse/RBRC02769","http://rdf.ebi.ac.uk/resource/ensembl/ENSG00000254647","http://purl.obolibrary.org/obo/UBERON_0000451"
"http://metadb.riken.jp/db/rikenbrc_mouse/RBRC09525","http://rdf.ebi.ac.uk/resource/ensembl/ENSG00000254647","http://purl.obolibrary.org/obo/UBERON_0000451"
"http://metadb.riken.jp/db/rikenbrc_mouse/RBRC04940","http://rdf.ebi.ac.uk/resource/ensembl/ENSG00000254647","http://purl.obolibrary.org/obo/UBERON_0000451"
"http://metadb.riken.jp/db/rikenbrc_mouse/RBRC02770","http://rdf.ebi.ac.uk/resource/ensembl/ENSG00000254647","http://purl.obolibrary.org/obo/UBERON_0000451"
"http://metadb.riken.jp/db/rikenbrc_mouse/RBRC02767","http://rdf.ebi.ac.uk/resource/ensembl/ENSG00000254647","http://purl.obolibrary.org/obo/UBERON_0000451"
"http://metadb.riken.jp/db/rikenbrc_mouse/RBRC03934","http://rdf.ebi.ac.uk/resource/ensembl/ENSG00000254647","http://purl.obolibrary.org/obo/UBERON_0000451"
"http://metadb.riken.jp/db/rikenbrc_mouse/RBRC02768","http://rdf.ebi.ac.uk/resource/ensembl/ENSG00000254647","http://purl.obolibrary.org/obo/UBERON_0000451"
"http://metadb.riken.jp/db/rikenbrc_mouse/RBRC09959","http://rdf.ebi.ac.uk/resource/ensembl/ENSG00000159640","http://purl.obolibrary.org/obo/UBERON_0000451"
"http://metadb.riken.jp/db/rikenbrc_mouse/RBRC-GSC0338","http://rdf.ebi.ac.uk/resource/ensembl/ENSG00000171105","http://purl.obolibrary.org/obo/UBERON_0000451"
"http://metadb.riken.jp/db/rikenbrc_mouse/RBRC06416","http://rdf.ebi.ac.uk/resource/ensembl/ENSG00000171105","http://purl.obolibrary.org/obo/UBERON_0000451"
"http://metadb.riken.jp/db/rikenbrc_mouse/RBRC-GSC0245","http://rdf.ebi.ac.uk/resource/ensembl/ENSG00000171105","http://purl.obolibrary.org/obo/UBERON_0000451"
"http://metadb.riken.jp/db/rikenbrc_mouse/RBRC06419","http://rdf.ebi.ac.uk/resource/ensembl/ENSG00000171105","http://purl.obolibrary.org/obo/UBERON_0000451"
"http://metadb.riken.jp/db/rikenbrc_mouse/RBRC06413","http://rdf.ebi.ac.uk/resource/ensembl/ENSG00000171105","http://purl.obolibrary.org/obo/UBERON_0000451"
"http://metadb.riken.jp/db/rikenbrc_mouse/RBRC06418","http://rdf.ebi.ac.uk/resource/ensembl/ENSG00000171105","http://purl.obolibrary.org/obo/UBERON_0000451"
"http://metadb.riken.jp/db/rikenbrc_mouse/RBRC06417","http://rdf.ebi.ac.uk/resource/ensembl/ENSG00000171105","http://purl.obolibrary.org/obo/UBERON_0000451"
"http://metadb.riken.jp/db/rikenbrc_mouse/RBRC06415","http://rdf.ebi.ac.uk/resource/ensembl/ENSG00000171105","http://purl.obolibrary.org/obo/UBERON_0000451"
"http://metadb.riken.jp/db/rikenbrc_mouse/RBRC-GSC0275","http://rdf.ebi.ac.uk/resource/ensembl/ENSG00000171105","http://purl.obolibrary.org/obo/UBERON_0000451"
"http://metadb.riken.jp/db/rikenbrc_mouse/RBRC06420","http://rdf.ebi.ac.uk/resource/ensembl/ENSG00000171105","http://purl.obolibrary.org/obo/UBERON_0000451"
"http://metadb.riken.jp/db/rikenbrc_mouse/RBRC01593","http://rdf.ebi.ac.uk/resource/ensembl/ENSG00000171791","http://purl.obolibrary.org/obo/UBERON_0000451"
"http://metadb.riken.jp/db/rikenbrc_mouse/RBRC10041","http://rdf.ebi.ac.uk/resource/ensembl/ENSG00000186868","http://purl.obolibrary.org/obo/UBERON_0000451"
